"pk_classification_id";"fk_rider_id";"position";"points";"year";"fk_team_id";"load_date"
"42deb13f-7462-4e9d-9472-c523151031b3";"395dd434-1814-4c00-acf8-a66c806b4e84";"23";"2";"1981";"Sin datos";"18/9/2024 07:54"
"433c6b08-3775-4adc-8012-6cf9e3fc2b74";"5f2d4516-e9fe-4fdc-a793-d33777cd74e6";"38";"2";"1993";"Sin datos";"18/9/2024 21:33"
"45e6e023-75da-4295-aa2c-6e02287daaeb";"fc10f225-7cb7-4338-b1c4-64e780752670";"44";"2";"1975";"Sin datos";"17/9/2024 11:59"
"45f91c5f-7ac5-476e-b565-1340e5c8a3f1";"b72d756e-5fdd-4b28-9bd5-4a66bd068b37";"28";"2";"1978";"Sin datos";"17/9/2024 16:31"
"4635e6ef-6b4c-449e-886b-163495618ce3";"a1de21cf-04c9-4858-8f78-8a36c6cfc7cb";"23";"2";"1986";"Sin datos";"18/9/2024 16:27"
"4919e04e-a82c-4aad-b075-d2cd420bb002";"a1bf2baf-9a4e-4aa1-89ca-4244b3ca82be";"22";"2";"1965";"Sin datos";"16/9/2024 22:04"
"4a644b6b-11a9-4886-b4f7-d3cae0156463";"86f546dc-9155-41af-b1d0-5a6b0b7db95e";"21";"2";"1985";"Sin datos";"18/9/2024 07:54"
"4d984a36-9d8f-4fe4-b262-8f13f2935b27";"588830bc-9d93-489d-b3a3-a6fee149996c";"16";"2";"1956";"Sin datos";"16/9/2024 21:42"
"5149eb4f-0605-45a0-8054-09065ad46993";"c8d5e93f-1050-433a-bc30-54436c7a12e2";"22";"2";"1968";"Sin datos";"17/9/2024 08:57"
"523ccdd7-6099-4207-b627-77bb17564334";"87b28de8-b2df-453b-addf-1310a2e4f152";"29";"2";"1997";"Sin datos";"19/9/2024 08:51"
"52eb42e0-230f-4341-b6d1-dc29d9c2361b";"30f8a0f3-bcab-44c3-bd27-3b28617c490e";"17";"2";"1964";"Sin datos";"16/9/2024 22:04"
"53026c50-d398-495d-a60c-75c2c8ba6892";"99b9984b-7e2b-451c-b6d2-e8b9a7f5d82d";"29";"2";"1978";"Sin datos";"17/9/2024 16:31"
"5c9d2d8a-c681-4d4e-bb5a-a0c0ea0ea2f4";"400f1995-a6f5-4947-95c6-023baa96dfd5";"44";"2";"1971";"Sin datos";"17/9/2024 11:59"
"5fe2f018-6267-407b-bd6f-461d568d3cad";"999df4f1-d994-47d2-acce-e8de2b26386e";"21";"2";"1967";"Sin datos";"17/9/2024 08:57"
"604db47e-fcfa-45da-9396-e66bd7ab92c7";"bdb7d56b-2516-431d-9ff8-2964983303c1";"37";"2";"1993";"Sin datos";"18/9/2024 21:33"
"61a659d9-e355-4b43-94f4-a1d909f3ab2c";"6e10d6cb-157d-4b5c-9c80-cdc22de88050";"22";"2";"1985";"Sin datos";"18/9/2024 07:54"
"63b62b2a-d2f2-4403-97d4-b5f72f39b11b";"5dfc5440-146b-42d7-b6ba-4f5d2ba4cb8c";"18";"2";"1964";"Sin datos";"16/9/2024 22:04"
