"fk_event_id";"fk_result_id";"fk_rider_id";"fk_circuit_id";"fk_team_id";"position";"points";"gap_lap";"total_laps";"rider_type";"ground_condition";"humidity_condition";"weather_condition";"track_condition";"date";"month";"year";"pk_race_id";"load_date";"gap_first";"time";"average_speed"
"c99866ea-259c-4f3b-8b0f-3c77275d390e";"669287da-3af9-4903-a904-06c06e6cb8d2";"b6f83b30-fe6c-4cd5-aea1-d06f48daf074";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"05/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"27/6/1964";"6";"1964";"0d5b4f9b70a4b91207a47c311efb83306f493dae90a0e7ca4052fc3f2d9442fd";"16/9/2024 22:02";"0.000 s";"0 s";"0 km/h"
"83643128-4233-466d-96a7-aa35cc682c3a";"95854079-ff36-471b-a962-0ad288d5209b";"8e158c6b-1e5a-4763-9ff3-c3f11f141aeb";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1986";"6";"1986";"294770c8268504d8e35111946977bb154fd7d68f530a6035e972205afdce8480";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"c144d18e-44d2-4350-a0cd-bc4474e9de5b";"0d18afba-ffa1-41a1-9add-408b93e89e1d";"60ea697d-b661-42cf-9d7b-ac81cf837b02";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1978";"6";"1978";"472a31c661d13375315162f103eef6de84a6f06ece7fe242470cfe30425afd92";"17/9/2024 16:29";"0.000 s";"0 s";"0 km/h"
"48d8d435-0c4c-4cf4-8d0f-b49c1e6a2d9d";"45622d47-9e74-4c6f-93d2-e4758d3e0d63";"199f8dbc-e92a-4fb2-9300-93e0ee3fd053";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"05/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1967";"6";"1967";"68b41d303c3a61814defbce7d05db3fa908b835d6c6559c269c8e20f7250b318";"17/9/2024 08:56";"0.000 s";"0 s";"0 km/h"
"83643128-4233-466d-96a7-aa35cc682c3a";"d4b9c22c-8b26-4e58-8bfc-e95f255e0ba7";"d1f8d3be-6b90-4fbb-a717-b16c03b8d57c";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1986";"6";"1986";"6aa6fd7228137310c65931c01d1e28f96e4a865f280239571100c9d9ce682be4";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"e9ba4d4c-ff89-4630-9f9a-d4290613eb10";"677b8860-5c9a-4f7b-8548-7cf3c9ffa706";"44f840f0-d17d-4926-9319-b14e1d7dd287";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"04/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1969";"6";"1969";"6ac0c28a78664ecb7b2d54b12ca7a69774ea95856979de3f087ec67912cd9c24";"17/9/2024 08:56";"0.000 s";"0 s";"0 km/h"
"0362108e-2bb4-417d-b4b3-335c690a96b4";"e9ae9d56-b9c6-437f-9187-ce2ee497d02b";"a91bfa63-7880-48ed-b461-7e6463c6018e";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"05/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"29/6/1974";"6";"1974";"6c9e3ee58350d11267022c27c3d600201efc137e19580f90f226268c25f593b0";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"83643128-4233-466d-96a7-aa35cc682c3a";"aa5a076a-12ec-4c7f-9524-7a929490bc59";"682487f1-61cf-4660-9bb5-09d7d565b5d5";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1986";"6";"1986";"77bb6902e2be6b1865928382bc8dd1c5238e0a2cc6129e79d97a1942900cb80a";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"a3b06588-96a1-460c-ace1-83d487163c7e";"e72e353b-851d-496f-bc4d-33fb2a33373b";"60ea697d-b661-42cf-9d7b-ac81cf837b02";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"11/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"26/6/1965";"6";"1965";"86bc19de0df5bdd737a8d4c7f8f281e0dcb9ee0656ed6b824ea153d00682b144";"16/9/2024 22:02";"0.000 s";"0 s";"0 km/h"
"83643128-4233-466d-96a7-aa35cc682c3a";"748c1e81-c93e-43d7-8297-1db00ceb2a7c";"33859355-3036-4525-a74c-abc53259a92e";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1986";"6";"1986";"892f527057f651eab119ec009b38ab1923e123f1f08150e31a571c6561b83cf2";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"192571b8-1d5a-4e70-9640-39cf815fbe03";"ba50e4d6-7b20-4f51-9b2a-71c0310af982";"ba29b4c9-8869-432e-a6af-3a661886bda1";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1989";"6";"1989";"8d1579b7690a23ad1646ab86b080df3fc21e90b8b1b0293e004ede61d896df2d";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"ba97f81a-1f2c-4fc9-a798-4d835993beda";"0ac548f8-25fb-4ee0-ae0f-8425eae6b77b";"cd29a022-594e-4230-b343-1eea93ac42b6";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"08/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1972";"6";"1972";"928bad27f93e94ec71c607463d7f933cc0bedf37bf23d67ca104d4dda8a9d5a6";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"259726bb-b3b2-4fcc-84c8-ed9997a67d23";"4216a2a4-cbf8-4d2e-bc0a-f87b0d830294";"60a6b934-980b-40a7-988c-1e013f81a421";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"03/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"25/6/1966";"6";"1966";"b2e41e0708846387714413c625b31e99bd6bd06de76fb97975e896da2b3de065";"17/9/2024 08:56";"0.000 s";"0 s";"0 km/h"
"192571b8-1d5a-4e70-9640-39cf815fbe03";"8702dbf2-9b73-41b9-8f85-0931c350135a";"7c19effc-bee1-49ad-b3ab-1bf50d09a8da";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1989";"6";"1989";"c9afec8cab5a696d7c76a51aa79fc320841e6eebcf5a823b474931f08892bb29";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"e9ba4d4c-ff89-4630-9f9a-d4290613eb10";"47dea321-37c0-45d7-a07c-9b99b53bdd06";"520cdc62-1fdb-49c0-b3b9-80efeee6fe2c";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"09/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1969";"6";"1969";"cd74981b3e51b29c9fef5a081dfc92d3c7a93154bf44096a1264c66860b89efd";"17/9/2024 08:56";"0.000 s";"0 s";"0 km/h"
"0362108e-2bb4-417d-b4b3-335c690a96b4";"80d56e34-1fe9-4017-8d43-6e5a1fc103e5";"b524a13f-f12d-40f0-8b96-bc955563bec9";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"06/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"29/6/1974";"6";"1974";"d80f88813c5276117953616fa751927ee3ecdeaebae905a9e19174ec7cf69305";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"0362108e-2bb4-417d-b4b3-335c690a96b4";"8b22624e-08db-4699-86f4-6a4ece044193";"5c6a0029-29af-44ad-af99-c94ef9a92b97";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"07/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"29/6/1974";"6";"1974";"ff43a8b34c6960cde95ab2ddcef9628bd179b34e389927734bd83032a1ab92b6";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
