"pk_team_id";"team_name";"team_color";"sponsored_team";"constructor_name";"picture_url";"bike_picture_url";"load_date"
"7902d7fa-0e42-4bac-89a5-02a2b0623569";"Monster Yamaha Tech 3";"Sin datos";"Sin datos";"Yamaha";"https://photos.motogp.com/2020/teams/motogp/original/team_bike_11_1574329097.jpg";"Sin datos";"19/9/2024 23:27"
"805a1434-adef-431d-ab7d-2d7d02fbb383";"Attack Performance Racing";"Sin datos";"Sin datos";"APR";"Sin datos";"Sin datos";"20/9/2024 09:39"
"88b6385b-f5fe-4017-a3d2-d7e5b1805c1b";"Aruba.it Racing";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 14:26"
"8c4435bc-f0f6-47c3-8486-7f2f1dadd9e5";"Tech 3 Yamaha";"Sin datos";"Sin datos";"Yamaha";"https://photos.motogp.com/2020/teams/motogp/original/team_bike_11_1574329097.jpg";"Sin datos";"19/9/2024 23:27"
"926f5cf9-48f8-4e2f-9e7f-6556a4b77f30";"Ducati Team";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 09:39"
"99add8a3-be1f-48d0-89dc-72ddbea23e1e";"Monster Energy Yamaha MotoGP Team";"Sin datos";"Sin datos";"Yamaha";"Sin datos";"Sin datos";"20/9/2024 14:26"
"9c42cd5d-4b09-44d3-a051-09e5a59ad9fb";"Kawasaki Racing Team";"Sin datos";"Sin datos";"Kawasaki";"Sin datos";"Sin datos";"19/9/2024 23:27"
"a35b3a31-0627-4323-8983-32d983cce3b3";"Yamalube Yamaha Factory Racing";"Sin datos";"Sin datos";"Yamaha";"Sin datos";"Sin datos";"20/9/2024 12:50"
"a3acec15-6bd4-4ead-bb48-d19d2472d6a0";"Attack Performance";"Sin datos";"Sin datos";"APR";"Sin datos";"Sin datos";"20/9/2024 09:39"
"a41a8e1f-5b29-46b2-80e7-8a0ab6bf924e";"WithU Yamaha RNF MotoGP Team";"Sin datos";"Sin datos";"Yamaha";"Sin datos";"Sin datos";"19/9/2024 23:27"
"a5f82b23-a2dc-4370-83fd-03de186ed294";"Aruba.it Racing";"Sin datos";"Sin datos";"Ducati";"Sin datos";"Sin datos";"20/9/2024 14:26"
